卫	[卩一,wèi,GB0]
卮	[⺁一㔾,zhī,GB0]
卯	[卯,mǎo,GB0]
印	[{卬左}一卩,yìn_yì,GB0]
危	[冖厂㔾,wēi,GB0]
即	[彐厶卩,jí,GB0]
却	[土厶卩,què,GB0]
卵	[卯丶丶,luǎn_kūn,GB0]
卷	[丷夫㔾,juǎn_juàn_quán_quān_gǔn_jùn,GB0]
卸	[𠂉一止卩,xiè,GB0]
卺	[乛水一㔾,jǐn,GB0]
卿	[卯彐厶,qīng,GB0]
厂	[厂,chǎng_hǎn_yán_ān,GB0]
厄	[厂㔾,è_ě,GB0]
厅	[厂丁,tīng,GB0]
历	[厂力,lì,GB0]
厉	[厂一勹,lì,GB0]
压	[厂土丶,yā_yà,GB0]
厌	[厂犬,yàn,GB0]
厍	[厂车,shè,GB0]
厕	[厂贝刂,cè_si,GB0]
厘	[厂里,lí_chán,GB0]
厚	[厂日子,hòu,GB0]
厝	[厂龷日,cuò_jí,GB0]
原	[厂白小,yuán,GB0]
厢	[厂木目,xiāng,GB0]
厣	[厂犬甲,yǎn,GB0]
厥	[厂䒑屮欠,jué,GB0]
厦	[厂丆目夊,shà_xià,GB0]
厨	[厂一口寸,chú,GB0]
厩	[厂彐厶儿,jiù,GB0]
厮	[厂其斤,sī,GB0]
厶	[厶,sī_mǒu,GB0]
去	[土厶,qù_qū,GB0]
县	[且厶,xiàn,GB0]
叁	[厶大三,sān,GB0]
参	[厶大彡,cān_cēn_shēn,GB0]
又	[又,yòu,GB0]
叉	[又丶,chā_chá_chǎ_chà,GB0]
及	[乃乀,jí,GB0]
友	[{左上}又,yǒu,GB0]
双	[又又,shuāng,GB0]
反	[⺁又,fǎn_fàn,GB0]
发	[丩又丶,fā_fà,GB0]
叔	[上小又,shū,GB0]
取	[耳又,qǔ_qū,GB0]
受	[爪冖又,shòu_dào,GB0]
变	[亦又,biàn,GB0]
叙	[人一木又,xù,GB0]
叛	[丷キ⺁又,pàn,GB0]
叟	[臼丨又,sǒu_sōu_xiāo,GB0]
叠	[又又又且,dié,GB0]
口	[口,kǒu,GB0]
古	[古,gǔ_gù_kū,GB0]
句	[勹口,jù_gōu_gòu_qú,GB0]
另	[口力,lìng,GB0]
叨	[口刀,dāo_dáo_tāo,GB0]
叩	[口卩,kòu,GB0]
只	[口八,zhǐ_zhī,GB0]
叫	[口丩,jiào,GB0]
召	[刀口,zhào_shào,GB0]
叭	[口八,bā_pā_ba,GB0]
叮	[口丁,dīng,GB0]
可	[丁口,kě_kè_gē,GB0]
台	[厶口,tái_tāi_yí_sì,GB0]
叱	[口匕,chì_huà_é,GB0]
史	[口乂,shǐ,GB0]
右	[{左上}口,yòu,GB0]
叵	[匚口,pǒ,GB0]
叶	[口十,yè_xié,GB0]
号	[口丂,hào_háo_xiāo,GB0]
司	[乛一口,sī_cí_sì,GB0]
叹	[口又,tàn_yǐ_yòu,GB0]
叻	[口力,lè_lì,GB0]
叼	[口乛一,diāo,GB0]
叽	[口几,jī_jiào,GB0]
吁	[口一{于下},xū_yū_yù,GB0]
吃	[口𠂉乙,chī_qī,GB0]
各	[夊口,gè_gě,GB0]
吆	[口幺,yāo,GB0]
合	[合,hé_gě,GB0]
吉	[士口,jí,GB0]
吊	[口巾,diào,GB0]
同	[冂一口,tóng_tòng,GB0]
名	[夕口,míng_mìng,GB0]
后	[⺁一口,hòu,GB0]
吏	[一口乂,lì,GB0]
吐	[口土,tǔ_tù,GB0]
向	[向,xiàng,GB0]
吒	[口丿七,zhā_zhà,GB0]
吓	[口下,xià_hè_hà,GB0]
吕	[口口,lǚ,GB0]
吖	[口丷丨,yā_ā,GB0]
吗	[口马,ma_má_mǎ,GB0]
君	[彐丿口,jūn,GB0]
吝	[文口,lìn,GB0]
吞	[一大口,tūn_tiān,GB0]
吟	[口人丶乛,yín_yǐn_jìn,GB0]
