⺀	(⺀,Ye,,部首補充)
𫵢	(冂龷尸凵,PkScYsDk,,CJK-E)
𫵣	(尸毛一丶,YsHmFiLd,,CJK-E)
𫵤	(尸夕ヰ田,YsUxEkYt,,CJK-E)
𫵥	(尸䒑卄口,YsQdScOv,,CJK-E)
𫵦	(尸古方⺀,YsIuNfYe,,CJK-E)
𫵧	(尸乀⺀水,YsLdYeHs,,CJK-E)
𫵨	(尸䒑卄刂,YsQdScGd,,CJK-E)
𫵩	(尸彳一十,YsXiFiQi,,CJK-E)
𫵪	(尸臼冂八,YsHjPkUa,,CJK-E)
𫵫	(尸米女匕,YsTmRnIb,,CJK-E)
𫵬	(尸月臼八,YsWyHjUa,,CJK-E)
𫵭	(尸米女口,YsTmRnOv,,CJK-E)
𫵮	(凵キ凵キ,DkEkDkEk,,CJK-E)
𫵯	(屮酉心,DcVoTi,,CJK-E)
𫵰	(屮尸コ兀,DcYsBoPw,,CJK-E)
𫵱	(山十,TsQi,,CJK-E)
𫵲	(山丁,TsDd,,CJK-E)
𫵳	(山几,TsDj,,CJK-E)
𫵴	(山又,TsBo,,CJK-E)
𫵵	(山𠄎{两撇},TsViHp,,CJK-E)
𫵶	(山キ乛,TsEkVi,,CJK-E)
𫵷	(山厂力,TsMcWl,lì,CJK-E)
𫵸	(山ス工,TsBoKg,,CJK-E)
𫵹	(山又寸,TsBoAc,,CJK-E)
𫵺	(山冖巴,TsPiNb,,CJK-E)
𫵻	(山宀女,TsKbRn,,CJK-E)
𫵼	(山一日乂,TsFiJrCi,,CJK-E)
𫵽	(山几一日,TsDjFiJr,,CJK-E)
𫵾	(𠂉母山,AvWuTs,,CJK-E)
𫵿	(山禾乃,TsVeVn,,CJK-E)
𫶀	(山宀木,TsKbFm,,CJK-E)
𫶁	(山日勹{两撇},TsJrHbHp,,CJK-E)
𫶂	(山山厂干,TsTsMcNg,,CJK-E)
𫶃	(山日心,TsJrTi,,CJK-E)
𫶄	(山亦又,TsHiBo,,CJK-E)
𫶅	(山厶大彡,TsKsUdHp,,CJK-E)
𫶆	(山戊一女,TsMwFiRn,,CJK-E)
𫶇	(山卅冖巾,TsSaPiVj,dié,CJK-E)
𫶈	(山尸䒑卄,TsYsQdSc,,CJK-E)
𫶉	(山尸至,TsYsUz,,CJK-E)
𫶊	(山〢{⺮右}皿,TsIvAvXm,,CJK-E)
𫶋	(臼丨冖山,HjIvPiTs,,CJK-E)
𫶌	(山卯田,TsGmYt,,CJK-E)
𫶍	(山冖日八,TsPiJrUa,,CJK-E)
𫶎	(山穴人口,TsWxReOv,,CJK-E)
𫶏	(山女丿戈,TsRnMpMe,,CJK-E)
𫶐	(山又又木,TsBoBoFm,,CJK-E)
𫶑	(山王貝,TsJwXb,,CJK-E)
𫶒	(山氵木木,TsIsFmFm,,CJK-E)
𫶓	(山宀大口,TsKbUdOv,,CJK-E)
𫶔	(乛耳夊山,ViMrEuTs,,CJK-E)
𫶕	(山艹冖口,TsScPiOv,,CJK-E)
𫶖	(阝日一山,BfJrFiTs,,CJK-E)
𫶗	(山石人冊,TsUsReIc,,CJK-E)
𫶘	(山雨田,TsXuYt,,CJK-E)
𫶙	(山艹癶大,TsScBoUd,,CJK-E)
𫶚	(山禾士刂,TsVeGiGd,,CJK-E)
𫶛	(山彳糸夊,TsXiPsEu,,CJK-E)
𫶜	(山亠冖丨,TsLtPiIv,,CJK-E)
𫶝	(山厂乛夊,TsMcViEu,,CJK-E)
𫶞	(匕日丆山,IbJrUsTs,,CJK-E)
𫶟	(山厂亻夫,TsMcEeKf,,CJK-E)
𫶠	(山龶冂丄,TsHqPkKs,,CJK-E)
𫶡	(山止小貝,TsNzViXb,,CJK-E)
𫶢	(山{虎头}田皿,TsMhYtXm,,CJK-E)
𫶣	(山彳鱼亍,TsXiNuLc,,CJK-E)
𫶤	(山尸子子,TsYsKzKz,,CJK-E)
𫶥	(山艹門丷,TsScCmQd,,CJK-E)
𫶦	(山言糹夊,TsUyPsEu,,CJK-E)
𫶧	({荒下},Ne,,CJK-E)
𫶨	(人一木川,ReFiFmYc,,CJK-E)
𫶩	(巛冂人厶,JcPkReKs,,CJK-E)
𫶪	(巛言立儿,JcUyAlNe,,CJK-E)
𫶫	(工八厶,KgUaKs,,CJK-E)
𫶬	(工矢,KgAi,,CJK-E)
𫶭	(亻壬工,EeTeKg,,CJK-E)
𫶮	(工艹二厶,KgScYeKs,,CJK-E)
𫶯	(羊工女,HvKgRn,,CJK-E)
𫶰	(羊丿工又,HvMpKgBo,,CJK-E)
𫶱	(工丂艹早,KgEkScTo,,CJK-E)
𫶲	(士{眉上}殳工,GiYsDsKg,,CJK-E)
𫶳	(工罒耂日,KgKwGtJr,,CJK-E)
𫶴	(羊丿工{囟框},HvMpKgDx,,CJK-E)
𫶵	(巴乃,NbVn,,CJK-E)
𫶶	(巳古儿,NiIuNe,,CJK-E)
𫶷	(口{囟框}巴,OvDxNb,,CJK-E)
𫶸	(巴亻一刂,NbEeFiGd,,CJK-E)
𫶹	(山幺幺巳,TsTaTaNi,,CJK-E)
𫶺	(十{左上}十㔾,QiSzQiVi,,CJK-E)
𫶻	(巴臣𠂉皿,NbDeAvXm,,CJK-E)
𫶼	(巴辛木口,NbRxFmOv,,CJK-E)
𫶽	(巾卜,VjNv,,CJK-E)
𫶾	(巾人,VjRe,,CJK-E)
𫶿	(巾丿几丶,VjMpDjLd,,CJK-E)
𫷀	(巾毛,VjHm,,CJK-E)
𫷁	(八乂巾,UaCiVj,,CJK-E)
𫷂	(巾乛キ,VjViEk,,CJK-E)
𫷃	(一人人巾,FiReReVj,,CJK-E)
𫷄	(卝一巾,ScFiVj,,CJK-E)
𫷅	(巾冖车,VjPiPj,,CJK-E)
𫷆	(巾冂䒑山,VjPkQdTs,,CJK-E)
𫷇	(向亠巾,DxLtVj,,CJK-E)
𫷈	(彡丆贝巾,HpUsCeVj,,CJK-E)
𫷉	(巾宀⺧儿,VjKbTnNe,,CJK-E)
𫷊	(巾十且八,VjQiHqUa,,CJK-E)
𫷋	(巾山一䒑,VjTsFiQd,,CJK-E)
𫷌	(巾〢{⺮右}皿,VjIvAvXm,,CJK-E)
𫷍	(白巾尸匕,DaVjYsIb,,CJK-E)
𫷎	(巾广肀口,VjLaXjOv,,CJK-E)
𫷏	(糹{卬左}七巾,PsGmWiVj,,CJK-E)
𫷐	(巾艹千里,VjScYqGl,,CJK-E)
𫷑	(巾尚田,VjJsYt,,CJK-E)
𫷒	(巾一口貝,VjFiOvXb,,CJK-E)
𫷓	(尚巾人冊,JsVjReIc,,CJK-E)
𫷔	(干𠂉乙,NgAvVi,,CJK-E)
𫷕	(干丩又,NgDjBo,,CJK-E)
𫷖	(干乛キ,NgViEk,,CJK-E)
𫷗	(𠂉ヰ女又,AvEkRnBo,,CJK-E)
𫷘	(䒑卄由丂,QdScAyEk,,CJK-E)
𫷙	(干丷文二,NgQdRwYe,,CJK-E)
𫷚	(干丷月月,NgQdWyWy,,CJK-E)
𫷛	(干干丱八,NgNgDjUa,,CJK-E)
𫷜	(𠂉ヰ十十,AvEkQiQi,,CJK-E)
𫷝	(干丷亻月,NgQdEeWy,,CJK-E)
𫷞	(𠂉ヰ非心,AvEkUfTi,,CJK-E)
𫷟	(幺耂丂,TaGtEk,,CJK-E)
𫷠	(冂龷幺幺,PkScTaTa,,CJK-E)
𫷡	(幺幺一二,TaTaFiYe,,CJK-E)
𫷢	(丆目幺幺,UsRmTaTa,,CJK-E)
𫷣	(幺幺戈女,TaTaMeRn,,CJK-E)
𫷤	(幺力𠂤辶,TaWlXdHc,,CJK-E)
𫷥	(广九,LaTj,,CJK-E)
𫷦	(广寸,LaAc,,CJK-E)
𫷧	(广{左上}厶,LaSzKs,,CJK-E)
𫷨	(广牛八,LaTnUa,,CJK-E)
𫷩	(广巳卄,LaNiSc,,CJK-E)
𫷪	(广丰阝,LaLfBf,,CJK-E)
𫷫	(广干夊,LaNgEu,,CJK-E)
𫷬	(广一米,LaFiTm,,CJK-E)
𫷭	(广足,LaJz,,CJK-E)
𫷮	(广阝月,LaBfWy,,CJK-E)
𫷯	(广彐人⺀,LaXjReYe,,CJK-E)
𫷰	(广木⺁又,LaFmCjBo,,CJK-E)
𫷱	(广大十卄,LaUdQiSc,,CJK-E)
𫷲	(广小丿火,LaViMpTh,,CJK-E)
𫷳	(广丿止廴,LaMpNzJd,,CJK-E)
𫷴	(广火小丿,LaThViMp,,CJK-E)
𫷵	(广彐人丶,LaXjReLd,,CJK-E)
𫷶	(广口耂丂,LaOvGtEk,,CJK-E)
𫷷	(广钅欠,LaPjSq,xīn,CJK-E)
𫷸	(广食,LaQs,,CJK-E)
𫷹	(广米女,LaTmRn,,CJK-E)
𫷺	(广身寸,LaRsAc,,CJK-E)
𫷻	(广彐人人,LaXjReRe,,CJK-E)
𫷼	(广土䒑丶,LaGtQdLd,,CJK-E)
𫷽	(广{虎头}丿{于下},LaMhMpAc,,CJK-E)
𫷾	(广贝贝女,LaCeCeRn,,CJK-E)
𫷿	(广隹九丶,LaYzTjLd,,CJK-E)
𫸀	(广彐丨金,LaXjIvKj,,CJK-E)
𫸁	(广罒一𧘇,LaKwFiSi,,CJK-E)
𫸂	(广舟⺧口,LaQoTnOv,,CJK-E)
𫸃	(广土䒑土,LaGtQdGt,,CJK-E)
𫸄	(广艹鬼,LaScXg,,CJK-E)
𫸅	(广禾禾火,LaVeVeTh,,CJK-E)
𫸆	(广亻业夫,LaEeLyKf,,CJK-E)
𫸇	(广丶羊,LaLdHv,,CJK-E)
𫸈	(广米夕辶,LaTmUxHc,,CJK-E)
𫸉	(广予土辶,LaMuGtHc,,CJK-E)
𫸊	(广龷由儿,LaScAyNe,,CJK-E)
𫸋	(广龷由{乍下},LaScAyNv,,CJK-E)
𫸌	(广龷由{眉上},LaScAyYs,,CJK-E)
𫸍	(广龷由早,LaScAyTo,,CJK-E)
𫸎	(广艹二月,LaScYeWy,,CJK-E)
𫸏	(广龷由八,LaScAyUa,,CJK-E)
𫸐	(广龷由辶,LaScAyHc,,CJK-E)
𫸑	(士廴,GiJd,,CJK-E)
𫸒	(土儿土廴,GtNeGtJd,,CJK-E)
𫸓	(艹壬廴,ScTeJd,,CJK-E)
𫸔	(王丆貝廴,JwUsXbJd,,CJK-E)
𫸕	(彐キ丿工,XjEkMpKg,,CJK-E)
𫸖	(彐卄,XjSc,,CJK-E)
𫸗	(戈乚卄,MeKnSc,,CJK-E)
𫸘	(夕匕卄,UxIbSc,,CJK-E)
𫸙	(乛一口卄,ViFiOvSc,,CJK-E)
𫸚	(辰卄,BcSc,,CJK-E)
𫸛	(尸毛卄,YsHmSc,,CJK-E)
𫸜	({專上}卄,NcSc,,CJK-E)
𫸝	(非卄,UfSc,,CJK-E)
𫸞	(勹車卄,HbNcSc,,CJK-E)
𫸟	(臼弓卄,HjPgSc,,CJK-E)
𫸠	({鹿上}一卄,KlFiSc,,CJK-E)
𫸡	(尸毛米卄,YsHmTmSc,,CJK-E)
𫸢	(火火亠卄,ThThLtSc,,CJK-E)
𫸣	(自穴方卄,RiWxNfSc,,CJK-E)
𫸤	(爪罒彐卄,BzKwXjSc,,CJK-E)
𫸥	(弓大,PgUd,,CJK-E)
𫸦	(弓卄,PgSc,,CJK-E)
𫸧	(弓口,PgOv,,CJK-E)
𫸨	(丁弓{介下},DdPgUa,,CJK-E)
𫸩	(弓匚乂,PgWfCi,kōu,CJK-E)
𫸪	(弓弓,PgPg,,CJK-E)
𫸫	(弓{左上}口,PgSzOv,,CJK-E)
𫸬	(冖儿弓丨,PiNePgIv,,CJK-E)
𫸭	(マ囗弓,BoXwPg,,CJK-E)
𫸮	(弓木冂,PgFmPk,,CJK-E)
𫸯	(弓口大,PgOvUd,,CJK-E)
𫸰	(弓爪刀,PgBzIa,,CJK-E)
𫸱	(弓示乚,PgDiKn,,CJK-E)
𫸲	(文厂弓,RwMcPg,,CJK-E)
𫸳	(弓貝,PgXb,,CJK-E)
𫸴	(弓{介下}且,PgUaHq,,CJK-E)
𫸵	(弓𠂉{乍下}又,PgAvNvBo,,CJK-E)
𫸶	(弓乛キ阝,PgViEkBf,,CJK-E)
𫸷	(弓丨王卄,PgIvJwSc,,CJK-E)
𫸸	(弓日卜又,PgJrNvBo,,CJK-E)
𫸹	(弓大弓土,PgUdPgGt,,CJK-E)
𫸺	(弓弓土寸,PgPgGtAc,,CJK-E)
𫸻	(弓{介下}西女,PgUaSiRn,,CJK-E)
𫸼	(烏弓二,CuPgYe,,CJK-E)
𫸽	(丷弓丨电,QdPgIvPd,,CJK-E)
𫸾	(弓土八力,PgGtUaWl,,CJK-E)
𫸿	(弓丷日之,PgQdJrHz,,CJK-E)
𫹀	(弓自幺又,PgRiTaBo,,CJK-E)
𫹁	(弓齒,PgWc,,CJK-E)
𫹂	(弓自魚,PgRiBy,,CJK-E)
𫹃	(弓月一乂,PgWyFiCi,,CJK-E)
𫹄	(皮彐,EpXj,,CJK-E)
𫹅	(彐冖𠂉大,XjPiAvUd,,CJK-E)
𫹆	({互中}冖一八,WuPiFiUa,,CJK-E)
𫹇	({互中}丆丿巾,WuUsMpVj,,CJK-E)
𫹈	(彑米幺卄,WuTmTaSc,,CJK-E)
𫹉	(酉彡,VoHp,,CJK-E)
𫹊	(龵一丰彡,OsFiLfHp,,CJK-E)
𫹋	(彳〢,XiIv,,CJK-E)
𫹌	(彳女,XiRn,,CJK-E)
𫹍	(彳十又,XiQiBo,,CJK-E)
𫹎	(彳木,XiFm,,CJK-E)
𫹏	(彳卜又,XiNvBo,,CJK-E)
𫹐	(彳火,XiTh,,CJK-E)
𫹑	(彳千刂,XiYqGd,,CJK-E)
𫹒	(彳一口乂,XiFiOvCi,,CJK-E)
𫹓	(彳习习,XiBiBi,,CJK-E)
𫹔	(彳止口,XiNzOv,,CJK-E)
𫹕	(彳羊乚,XiHvKn,,CJK-E)
𫹖	(彳匚羊,XiWfHv,,CJK-E)
𫹗	(彳日文,XiJrRw,,CJK-E)
𫹘	(彳牛夊,XiTnEu,,CJK-E)
𫹙	(彳壴,XiPz,,CJK-E)
𫹚	(彳土土寸,XiGtGtAc,,CJK-E)
𫹛	(彳方𠂉子,XiNfAvKz,,CJK-E)
𫹜	(彳羊工,XiHvKg,,CJK-E)
𫹝	(彳羊乚厶,XiHvKnKs,,CJK-E)
𫹞	(彳馬,XiHa,,CJK-E)
𫹟	(彳口王阝,XiOvJwBf,,CJK-E)
𫹠	(彳竹夭,XiAvVy,,CJK-E)
𫹡	(彳革二,XiGgYe,,CJK-E)
𫹢	(彳户口夊,XiDvOvEu,,CJK-E)
𫹣	(彳大丷小,XiUdQdVi,,CJK-E)
𫹤	(彳业丨〢,XiLyIvIv,,CJK-E)
𫹥	(彳{五下}丿冂,XiQwMpPk,,CJK-E)
𫹦	(十月土寸,QiWyGtAc,,CJK-E)
𫹧	(彳士口貝,XiGiOvXb,,CJK-E)
𫹨	(彳亠八貝,XiLtUaXb,,CJK-E)
𫹩	(彳艹口隹,XiScOvYz,,CJK-E)
𫹪	(彳口口夊,XiOvOvEu,,CJK-E)
𫹫	(忄丂,HxEk,,CJK-E)
𫹬	(冖小丶,PiViLd,,CJK-E)
𫹭	(乃心,VnTi,,CJK-E)
𫹮	(忄丂一,HxEkFi,,CJK-E)
𫹯	(干心,NgTi,,CJK-E)
𫹰	(心门,TiQm,,CJK-E)
𫹱	(巛心,JcTi,,CJK-E)
𫹲	(匚儿心,WfNeTi,,CJK-E)
𫹳	(戈心,MeTi,,CJK-E)
𫹴	(忄キ乛,HxEkVi,,CJK-E)
𫹵	(一兀心,FiPwTi,,CJK-E)
𫹶	(忄小丿,HxViMp,,CJK-E)
𫹷	(忄又又,HxBoBo,,CJK-E)
𫹸	(厶心乛一,KsTiViFi,,CJK-E)
𫹹	(厶乛一心,KsViFiTi,,CJK-E)
𫹺	(忄石,HxUs,,CJK-E)
𫹻	(未心,DwTi,,CJK-E)
𫹼	(忄七小,HxWiVi,,CJK-E)
𫹽	(忄𠂉𠄎{两撇},HxAvViHp,,CJK-E)
𫹾	(勹巳心,HbNiTi,,CJK-E)
𫹿	(宀丁心,KbDdTi,,CJK-E)
𫺀	(忄尢子,HxKyKz,,CJK-E)
𫺁	(夫丷心,KfQdTi,,CJK-E)
𫺂	(忄夫丷,HxKfQd,,CJK-E)
𫺃	(忄口一{于下},HxOvFiAc,,CJK-E)
𫺄	(日一乚心,JrFiKnTi,,CJK-E)
𫺅	(八⺀十心,UaYeQiTi,,CJK-E)
𫺆	(忄亻匕十,HxEeIbQi,,CJK-E)
𫺇	(二人丶心,YeReLdTi,,CJK-E)
𫺈	(忄氵女,HxIsRn,,CJK-E)
𫺉	(丷夫心,QdKfTi,,CJK-E)
𫺊	(忄文{介下},HxRwUa,,CJK-E)
𫺋	(氵女心,IsRnTi,,CJK-E)
𫺌	(忄工贝,HxKgCe,,CJK-E)
𫺍	(日女心,JrRnTi,,CJK-E)
𫺎	(忄丰阝,HxLfBf,,CJK-E)
𫺏	(忄白八,HxDaUa,,CJK-E)
𫺐	(人丶乛心,ReLdViTi,,CJK-E)
𫺑	(亻王丶心,EeJwLdTi,,CJK-E)
𫺒	(忄门日,HxQmJr,,CJK-E)
𫺓	(忄门心,HxQmTi,,CJK-E)
𫺔	(彐丿口心,XjMpOvTi,,CJK-E)
𫺕	(刀口卩心,IaOvKjTi,,CJK-E)
𫺖	(扌丶水心,CoLdHsTi,,CJK-E)
𫺗	(牙夊心,QyEuTi,,CJK-E)
𫺘	(忄艹冖力,HxScPiWl,,CJK-E)
𫺙	(忄〢丂八,HxIvEkUa,,CJK-E)
𫺚	(舟又心,QoBoTi,,CJK-E)
𫺛	(亻口{荒下}心,EeOvNeTi,,CJK-E)
𫺜	(冖口儿心,PiOvNeTi,,CJK-E)
𫺝	(忄广彐人,HxLaXjRe,,CJK-E)
𫺞	(火火心,ThThTi,,CJK-E)
𫺟	(忄{互中}冖巾,HxWuPiVj,,CJK-E)
𫺠	(王白心,JwDaTi,,CJK-E)
𫺡	(王人丶心,JwReLdTi,,CJK-E)
𫺢	(忄口口口,HxOvOvOv,,CJK-E)
𫺣	(忄山{左上}火,HxTsSzTh,,CJK-E)
𫺤	(忄卜貝,HxNvXb,,CJK-E)
𫺥	(忄日干刂,HxJrNgGd,,CJK-E)
𫺦	(八刀心二,UaIaTiYe,,CJK-E)
𫺧	(忄人⺍口,HxReIsOv,,CJK-E)
𫺨	(忄龵一丰,HxOsFiLf,,CJK-E)
𫺩	(二マ用心,YeBoIyTi,,CJK-E)
𫺪	(忄䒑夫{介下},HxQdKfUa,,CJK-E)
𫺫	(忄䒑大阝,HxQdUdBf,,CJK-E)
𫺬	(忄尸䒑卄,HxYsQdSc,,CJK-E)
𫺭	(忄厶口心,HxKsOvTi,,CJK-E)
𫺮	(臣夊心,DeEuTi,,CJK-E)
𫺯	(龷八小心,ScUaViTi,,CJK-E)
𫺰	(忄艹勹日,HxScHbJr,,CJK-E)
𫺱	(自心卜了,RiTiNvKe,,CJK-E)
𫺲	(月夕夕心,WyUxUxTi,,CJK-E)
𫺳	(忄䒑丿工,HxQdMpKg,,CJK-E)
𫺴	(亡心口月,WwTiOvWy,,CJK-E)
𫺵	(羊灬心,HvToTi,,CJK-E)
𫺶	(忄阝車,HxBfNc,,CJK-E)
𫺷	(又隹心,BoYzTi,,CJK-E)
𫺸	(車欠心,NcSqTi,,CJK-E)
𫺹	(忄匚口贝,HxWfOvCe,,CJK-E)
𫺺	(忄尚巾,HxJsVj,,CJK-E)
𫺻	(忄目艮,HxRmMg,,CJK-E)
𫺼	(忄爪丨臼,HxBzIvHj,,CJK-E)
𫺽	(自心人卩,RiTiReKj,,CJK-E)
𫺾	(八刀心口,UaIaTiOv,,CJK-E)
𫺿	(忄宀亻日,HxKbEeJr,,CJK-E)
𫻀	(忄宀大口,HxKbUdOv,,CJK-E)
𫻁	(忄门臼儿,HxQmHjNe,,CJK-E)
𫻂	(女又心艮,RnBoTiMg,,CJK-E)
𫻃	(忄{左上}工土,HxSzKgGt,,CJK-E)
𫻄	(忄艹龶月,HxScHqWy,,CJK-E)
𫻅	(忄白山乀,HxDaTsLd,,CJK-E)
𫻆	(犭丷酉心,QqQdVoTi,,CJK-E)
𫻇	(钅{卬左}七心,PjGmWiTi,,CJK-E)
𫻈	(女又心口,RnBoTiOv,,CJK-E)
𫻉	(刀丶心貝,IaLdTiXb,,CJK-E)
𫻊	(忄艹宀一,HxScKbFi,,CJK-E)
𫻋	(忄白{于下}彐,HxDaAcXj,,CJK-E)
𫻌	(忄䒑幺心,HxQdTaTi,,CJK-E)
𫻍	(米女夊心,TmRnEuTi,,CJK-E)
𫻎	(立日欠心,AlJrSqTi,,CJK-E)
𫻏	(忄尸口辛,HxYsOvRx,,CJK-E)
𫻐	(工几丶彐,KgDjLdXj,,CJK-E)
𫻑	(忄匚口貝,HxWfOvXb,,CJK-E)
𫻒	(囗口十心,XwOvQiTi,,CJK-E)
𫻓	(木言木心,FmUyFmTi,,CJK-E)
𫻔	(忄貝戈戈,HxXbMeMe,,CJK-E)
𫻕	(罒厶月心,KwKsWyTi,,CJK-E)
𫻖	(忄{虎头}田月,HxMhYtWy,,CJK-E)
𫻗	(忄立豕殳,HxAlBiDs,,CJK-E)
𫻘	(忄亠罒𧘇,HxLtKwSi,,CJK-E)
𫻙	(立早夊心,AlToEuTi,,CJK-E)
𫻚	(士冖一心,GiPiFiTi,,CJK-E)
𫻛	(心龶冂丄,TiHqPkKs,,CJK-E)
𫻜	(勹{两撇}心灬,HbHpTiTo,,CJK-E)
𫻝	(雨口口心,XuOvOvTi,,CJK-E)
𫻞	(忄艹犭又,HxScQqBo,,CJK-E)
𫻟	(忄艹立心,HxScAlTi,,CJK-E)
𫻠	(忄口月月,HxOvWyWy,,CJK-E)
𫻡	(忄亠口𧘇,HxLtOvSi,,CJK-E)
𫻢	(士冖一心,GiPiFiTi,,CJK-E)
𫻣	(忄鬼亠十,HxXgLtQi,,CJK-E)
𫻤	(忄文厂貝,HxRwMcXb,,CJK-E)
𫻥	(罒革馬心,KwGgHaTi,,CJK-E)
𫻦	(丂戈,EkMe,,CJK-E)
𫻧	(力戈,WlMe,,CJK-E)
𫻨	(戈大,MeUd,,CJK-E)
𫻩	(戈丰,MeLf,,CJK-E)
𫻪	(戈心,MeTi,,CJK-E)
𫻫	(戈示,MeDi,,CJK-E)
𫻬	(罒戈,KwMe,,CJK-E)
𫻭	(十戈一巾,QiMeFiVj,,CJK-E)
𫻮	(土土戈,GtGtMe,,CJK-E)
𫻯	(戈冂人人,MePkReRe,,CJK-E)
𫻰	(人戈人人,ReMeReRe,,CJK-E)
𫻱	(戈亠八乂,MeLtUaCi,,CJK-E)
𫻲	(一水丶戈,FiHsLdMe,,CJK-E)
𫻳	(戈大口丨,MeUdOvIv,,CJK-E)
𫻴	(止月戈,NzWyMe,,CJK-E)
𫻵	(⺧口戈,TnOvMe,,CJK-E)
𫻶	(爿戈口,LcMeOv,,CJK-E)
𫻷	(耂日戈,GtJrMe,,CJK-E)
𫻸	(戈{左上}戈{左上},MeSzMeSz,,CJK-E)
𫻹	(尚戈,JsMe,,CJK-E)
𫻺	(虎戈,MhMe,,CJK-E)
𫻻	(臼儿戈,HjNeMe,,CJK-E)
𫻼	(戈隹,MeYz,,CJK-E)
𫻽	(戊乛𠂉ヰ,MwViAvEk,,CJK-E)
𫻾	(戈巛田,MeJcYt,,CJK-E)
𫻿	(戈壴,MePz,,CJK-E)
𫼀	(目卜又戈,RmNvBoMe,,CJK-E)
𫼁	(甫寸戈,SfAcMe,,CJK-E)
𫼂	(千里亻戈,YqGlEeMe,,CJK-E)
𫼃	(戈鳥,MeCn,,CJK-E)
𫼄	(木冂木戈,FmPkFmMe,,CJK-E)
𫼅	(壴口戈,PzOvMe,,CJK-E)
𫼆	(业䒑夫戈,LyQdKfMe,,CJK-E)
𫼇	(戈罒貝,MeKwXb,,CJK-E)
𫼈	(彐工几戈,XjKgDjMe,,CJK-E)
𫼉	(户戈,DvMe,,CJK-E)
𫼊	(戶电,KvPd,,CJK-E)
𫼋	(戶土土,KvGtGt,,CJK-E)
𫼌	(户龷八,DvScUa,,CJK-E)
𫼍	(户爪子,DvBzKz,,CJK-E)
𫼎	(户忄𠂉十,DvHxAvQi,,CJK-E)
𫼏	(户耂日,DvGtJr,,CJK-E)
𫼐	(户且八,DvHqUa,,CJK-E)
𫼑	(户戈子又,DvMeKzBo,,CJK-E)
𫼒	(户氵{鹿上}厶,DvIsKlKs,,CJK-E)
𫼓	(乛手,ViOs,,CJK-E)
𫼔	(手刀,OsIa,,CJK-E)
𫼕	(扌丿几,CoMpDj,,CJK-E)
𫼖	(扌冖丶,CoPiLd,,CJK-E)
𫼗	(扌马,CoGm,,CJK-E)
𫼘	(扌⺆亠,CoHbLt,,CJK-E)
𫼙	(手{卬左}七,OsGmWi,,CJK-E)
𫼚	(扌亠八,CoLtUa,,CJK-E)
𫼛	(扌弓丨,CoPgIv,diào,CJK-E)
𫼜	(手卜口,OsNvOv,,CJK-E)
𫼝	(扌冖彐,CoPiXj,,CJK-E)
𫼞	(扌丿丷{于下},CoMpQdAc,,CJK-E)
𫼟	(扌𠂉𠄎{两撇},CoAvViHp,,CJK-E)
𫼠	(手丶王,OsLdJw,,CJK-E)
𫼡	(扌幺刀,CoTaIa,,CJK-E)
𫼢	(扌厂止,CoMcNz,,CJK-E)
𫼣	(扌匕匕十,CoIbIbQi,,CJK-E)
𫼤	(扌贝刂,CoCeGd,,CJK-E)
𫼥	(扌山己,CoTsEj,,CJK-E)
𫼦	(扌八{左上}又,CoUaSzBo,,CJK-E)
𫼧	(扌亻匕十,CoEeIbQi,,CJK-E)
𫼨	(扌冖贝,CoPiCe,,CJK-E)
𫼩	(扌䒑巾,CoQdVj,,CJK-E)
𫼪	(扌立丿,CoAlMp,,CJK-E)
𫼫	(扌门{于下}丿,CoQmAcMp,,CJK-E)
𫼬	(扌亦,CoHi,,CJK-E)
𫼭	(扌文凵,CoRwDk,,CJK-E)
𫼮	(扌冖𧘇,CoPiSi,,CJK-E)
𫼯	(扌力辶,CoWlHc,,CJK-E)
𫼰	(扌女口,CoRnOv,,CJK-E)
𫼱	(扌工贝,CoKgCe,,CJK-E)
𫼲	(扌一米,CoFiTm,,CJK-E)
𫼳	(扌艹亡,CoScWw,,CJK-E)
𫼴	(手口{囟框},OsOvDx,,CJK-E)
𫼵	(扌卜囗乂,CoNvXwCi,,CJK-E)
𫼶	(扌小贝,CoViCe,,CJK-E)
𫼷	(手口巴,OsOvNb,,CJK-E)
𫼸	(扌人甲,CoReAa,,CJK-E)
𫼹	(扌人丶口,CoReLdOv,,CJK-E)
𫼺	(扌犭王,CoQqJw,,CJK-E)
𫼻	(扌亻白,CoEeDa,,CJK-E)
𫼼	(扌⺀十廴,CoYeQiJd,,CJK-E)
𫼽	(扌门心,CoQmTi,,CJK-E)
𫼾	(扌纟乃乀,CoNjVnLd,,CJK-E)
𫼿	(手己夊,OsEjEu,,CJK-E)
𫽀	(扌纟冂人,CoNjPkRe,,CJK-E)
𫽁	(扌车辶,CoPjHc,,CJK-E)
𫽂	(扌十又刀,CoQiBoIa,,CJK-E)
𫽃	(扌戈火,CoMeTh,,CJK-E)
𫽄	(扌了口一,CoKeOvFi,,CJK-E)
𫽅	(扌土厶丶,CoGtKsLd,,CJK-E)
𫽆	(扌匚合,CoWfRh,,CJK-E)
𫽇	(扌一田凵,CoFiYtDk,,CJK-E)
𫽈	(扌艹夫,CoScKf,,CJK-E)
𫽉	(扌止龰,CoNzNz,,CJK-E)
𫽊	(扌⺍冖子,CoIsPiKz,,CJK-E)
