⺀	(⺀,Ye,,部首補充)
㑃	(亻幺力,EeTaWl,ǎo,CJK-A)
㑄	(亻母,EeWu,wǔ,CJK-A)
㑅	(亻𠂉上,EeAvKs,zuò,CJK-A)
㑆	(亻口儿,EeOvNe,,CJK-A)
㑇	(亻冖彐,EePiXj,zhòu,GBK)
㑈	(亻七小,EeWiVi,dòng,CJK-A)
㑉	(亻几一夕,EeDjFiUx,sù,CJK-A)
㑊	(亻亦,EeHi,yì,CJK-A)
㑋	(亻冂龷,EePkSc,qióng,CJK-A)
㑌	(亻匚王,EeWfJw,kuāng_wāng,CJK-A)
㑍	(亻丰八,EeLfUa,lèi,CJK-A)
㑎	(亻巛山,EeJcTs,nǎo,CJK-A)
㑏	(亻宀寸,EeKbAc,zhù,CJK-A)
㑐	(亻上小,EeKsVi,shū,CJK-A)
㑑	(亻自,EeRi,,CJK-A)
㑒	(合人,RhRe,,CJK-A)
㑓	(亻厶{左上}又,EeKsSzBo,,CJK-A)
㑔	(亻丆贝,EeUsCe,xǔ,CJK-A)
㑕	(亻山夕,EeTsUx,,CJK-A)
㑖	(亻亻口丨,EeEeOvIv,,CJK-A)
㑗	(亻身,EeRs,shēn,CJK-A)
㑘	(亻戈卄,EeMeSc,jiè,CJK-A)
㑙	(亻耳乚,EeMrKn,dié,CJK-A)
㑚	(亻乛キ阝,EeViEkBf,nuó,CJK-A)
㑛	(亻木口,EeFmOv,sù,CJK-A)
㑜	(亻扌斤,EeCoCj,yì_chì,CJK-A)
㑝	(亻王卄,EeJwSc,lòng,CJK-A)
㑞	(亻火卄,EeThSc,yìng,CJK-A)
㑟	(亻斤一八,EeCjFiUa,běng,CJK-A)
㑠	(亻〢又土,EeIvBoGt,,CJK-A)
㑡	(亻彐厶卩,EeXjKsKj,,CJK-A)
㑢	(亻土厶卩,EeGtKsKj,,CJK-A)
㑣	(亻木木,EeFmFm,lán,CJK-A)
㑤	(亻艹田,EeScYt,miáo,CJK-A)
㑥	(亻日勹{两撇},EeJrHbHp,yì,CJK-A)
㑦	(亻户犬,EeDvLq,lì,CJK-A)
㑧	(亻禾子,EeVeKz,jì,CJK-A)
㑨	(亻口矢,EeOvAi,yǔ,CJK-A)
㑩	(亻罒夕,EeKwUx,luó,CJK-A)
㑪	(亻文{介下}二,EeRwUaYe,chái,CJK-A)
㑫	(亻人丶心,EeReLdTi,,CJK-A)
㑬	(亻女古,EeRnIu,,CJK-A)
㑭	(亻田丌,EeYtYj,,CJK-A)
㑮	(亻冖車,EePiNc,hún,CJK-A)
㑯	(亻丆貝,EeUsXb,xǔ,CJK-A)
㑰	(亻{互中}豕,EeWuBi,huì,CJK-A)
㑱	(亻予丿木,EeMuMpFm,rǎo,CJK-A)
㑲	(亻十冂十,EeQiPkQi,,CJK-A)
㑳	(亻勹屮屮,EeHbDcDc,zhòu_zhū,GBK)
㑴	(亻彐冖又,EeXjPiBo,,CJK-A)
㑵	(亻疒矢,EeYbAi,hàn,CJK-A)
㑶	(亻气米,EeMqTm,xì,CJK-A)
㑷	(亻厶月匕,EeKsWyIb,tài,CJK-A)
㑸	(亻古丁口,EeIuDdOv,yáo,CJK-A)
㑹	(人一由日,ReFiAyJr,huì,CJK-A)
㑺	(亻隹乃,EeYzVn,jùn,CJK-A)
㑻	(亻宀心山,EeKbTiTs,mà,CJK-A)
㑼	(亻田夊口,EeYtEuOv,lüè,CJK-A)
㑽	(亻尚土,EeJsGt,táng,CJK-A)
㑾	(亻月言,EeWyUy,yáo,CJK-A)
㑿	(亻巛日木,EeJcJrFm,zhào,CJK-A)
㒀	(亻亠丷古,EeLtQdIu,zhāi_zhǎ,CJK-A)
㒁	(亻囗土十,EeXwGtQi,yǔ,CJK-A)
